Class,Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
guardian,185,0,0,21,78,86,1.300000,78.091106
mage,185,86,78,21,0,0,1.920000,73.736354
warrior,186,86,78,22,0,0,1.920000,55.710219
archer,186,86,78,22,0,0,1.920000,83.565329
guardian,186,0,0,22,78,86,1.300000,78.667169
mage,186,86,78,22,0,0,1.920000,74.280292
warrior,187,87,78,22,0,0,1.920000,56.119606
archer,187,87,78,22,0,0,1.920000,84.179410
guardian,187,0,0,22,78,87,1.300000,79.245256
mage,187,87,78,22,0,0,1.920000,74.826142
warrior,188,87,78,23,0,0,1.920000,56.528782
archer,188,87,78,23,0,0,1.920000,84.793174
guardian,188,0,0,23,78,87,1.300000,79.823044
mage,188,87,78,23,0,0,1.920000,75.371710
warrior,189,87,79,23,0,0,1.920000,56.937683
archer,189,87,79,23,0,0,1.920000,85.406524
guardian,189,0,0,23,79,87,1.300000,80.400443
mage,189,87,79,23,0,0,1.920000,75.916910
warrior,190,88,79,23,0,0,1.920000,57.347252
archer,190,88,79,23,0,0,1.920000,86.020878
guardian,190,0,0,23,79,88,1.300000,80.978787
mage,190,88,79,23,0,0,1.920000,76.463003
warrior,191,88,79,24,0,0,1.920000,57.757513
archer,191,88,79,24,0,0,1.920000,86.636269
guardian,191,0,0,24,79,88,1.300000,81.558107
mage,191,88,79,24,0,0,1.920000,77.010017
warrior,192,88,79,25,0,0,1.920000,58.165845
archer,192,88,79,25,0,0,1.920000,87.248768
guardian,192,0,0,25,79,88,1.300000,82.134704
mage,192,88,79,25,0,0,1.920000,77.554461
warrior,193,89,79,25,0,0,1.920000,58.575433
archer,193,89,79,25,0,0,1.920000,87.863150
guardian,193,0,0,25,79,89,1.300000,82.713074
mage,193,89,79,25,0,0,1.920000,78.100578
warrior,194,89,80,25,0,0,1.920000,58.984750
archer,194,89,80,25,0,0,1.920000,88.477124
guardian,194,0,0,25,80,89,1.300000,83.291061
mage,194,89,80,25,0,0,1.920000,78.646333
warrior,195,89,80,26,0,0,1.920000,59.393948
archer,195,89,80,26,0,0,1.920000,89.090923
guardian,195,0,0,26,80,89,1.300000,83.868882
mage,195,89,80,26,0,0,1.920000,79.191931
warrior,196,90,80,26,0,0,1.920000,59.803393
archer,196,90,80,26,0,0,1.920000,89.705089
guardian,196,0,0,26,80,90,1.300000,84.447049
mage,196,90,80,26,0,0,1.920000,79.737857
warrior,197,90,80,27,0,0,1.920000,60.213323
archer,197,90,80,27,0,0,1.920000,90.319984
guardian,197,0,0,27,80,90,1.300000,85.025902
mage,197,90,80,27,0,0,1.920000,80.284430
warrior,198,90,80,28,0,0,1.920000,60.621097
archer,198,90,80,28,0,0,1.920000,90.931645
guardian,198,0,0,28,80,90,1.300000,85.601710
mage,198,90,80,28,0,0,1.920000,80.828129
warrior,199,91,80,28,0,0,1.920000,61.030236
archer,199,91,80,28,0,0,1.920000,91.545354
guardian,199,0,0,28,80,91,1.300000,86.179447
mage,199,91,80,28,0,0,1.920000,81.373648
warrior,200,91,81,28,0,0,1.920000,61.439682
archer,200,91,81,28,0,0,1.920000,92.159522
guardian,200,0,0,28,81,91,1.300000,86.757616
mage,200,91,81,28,0,0,1.920000,81.919575
