strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
54,45,36,34,29,1.4,warrior,33.06742543733908,5
59,46,37,25,31,1.41,warrior,35.335224655554256,1
58,46,38,25,31,1.41,warrior,35.23551371695647,1
58,45,37,24,34,1.41,warrior,34.951947895881084,1
57,46,37,25,33,1.41,warrior,34.87327808749781,1
59,46,37,25,31,1.41,warrior,35.335224655554256,5
59,46,37,25,31,1.41,warrior,35.335224655554256,2
58,46,38,25,31,1.41,warrior,35.23551371695647,3
58,46,38,25,31,1.41,warrior,35.23551371695647,2
59,45,37,25,32,1.41,warrior,35.13363193061615,3
57,46,38,25,32,1.41,warrior,35.00164505445078,4
58,45,37,24,34,1.41,warrior,34.951947895881084,2
57,46,37,25,33,1.41,warrior,34.87327808749781,2
64,41,32,27,34,1.41,warrior,34.349454163325596,4
57,46,32,29,34,1.41,warrior,33.99744725807371,3
63,39,33,29,34,1.41,warrior,33.77155413055751,3
56,44,34,29,35,1.41,warrior,33.68186709857993,6
56,45,34,29,34,1.4,warrior,33.665400087771644,5
56,45,34,29,34,1.4,warrior,33.665400087771644,4
55,45,35,31,32,1.4,warrior,33.44403664985717,6
55,45,35,31,32,1.4,warrior,33.44403664985717,4
59,46,37,25,31,1.41,warrior,35.335224655554256,1
