strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,selection_rate
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
98,100,0,0,0,1.96,56.941423925537656,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,95,7,1,1,1.96,57.078455185789544,178,20
44,39,34,41,40,1.68,29.205809379716268,0,21
43,47,40,40,28,1.71,29.709318416500853,0,21
42,36,36,39,45,1.51,29.247027402746603,0,21
45,44,41,33,35,1.74,31.22746751691869,0,21
43,40,40,33,42,1.54,30.202805811860827,0,21
41,35,50,29,43,1.6,29.67843249545478,0,21
34,44,37,26,57,1.97,28.41310861148277,0,21
35,38,33,39,53,1.34,27.6117581196427,0,21
40,40,45,32,41,1.56,29.662870580171642,0,21
34,44,38,39,43,1.7,27.75458002565223,0,21
39,39,33,39,48,1.93,29.33675467743081,0,21
37,41,37,33,50,1.38,28.61085234780697,0,21
30,36,40,50,42,1.98,25.89734852582327,0,21
38,38,42,49,31,1.94,28.83997309934798,0,21
33,38,44,45,38,1.95,27.576990512576995,0,21
49,43,28,31,47,1.32,28.241826741541853,0,21
38,35,41,36,48,1.81,29.02704682667941,0,21
55,37,40,37,29,1.55,31.501239814715,0,21
47,36,37,35,43,1.42,30.64448940621279,0,21
36,45,40,40,37,1.78,28.761180655477013,0,21
40,37,46,35,40,1.55,29.385126682781255,0,22
43,43,37,42,33,1.63,29.040774497066778,0,22
45,39,36,29,49,1.77,30.693090625935344,0,22
43,31,47,34,43,1.56,29.59387094721289,0,22
38,31,45,43,41,1.84,28.51544907046938,0,22
36,56,35,29,42,1.37,28.68201242384376,0,22
36,35,47,42,38,1.95,28.691327248950486,0,22
38,50,41,29,40,1.64,29.256768210391467,0,22
54,31,41,34,38,1.97,32.77854536537384,0,22
41,50,34,41,32,1.75,29.729921885494363,0,22
42,37,39,41,39,1.42,29.489243078277926,0,22
49,30,46,33,40,1.68,30.236851587231833,0,22
41,37,42,38,40,1.38,29.28669081340267,0,22
28,40,37,51,42,1.98,25.27716140515739,0,22
41,42,42,36,37,1.39,29.871376288823143,0,22
34,37,48,39,40,1.85,28.37799019871769,0,22
37,51,40,31,39,1.97,30.972369942107797,0,22
46,48,33,28,43,1.73,31.29934931252896,0,22
39,32,43,40,44,1.85,29.055550301423622,0,22
35,42,38,46,37,1.89,28.39804016931863,0,22
44,46,37,41,30,1.55,29.86887068521137,0,23
