strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
82,64,51,1,0,1.8958856334780756,warrior,58.216997881573256,1
84,63,51,0,0,1.4100617933373816,warrior,49.99749108451739,1
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,1
84,63,51,0,0,1.477193963234772,warrior,50.37251469513139,1
83,64,51,0,0,1.8958856334780756,warrior,58.68321440916509,3
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,9
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,8
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,7
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,5
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,10
82,64,51,1,0,1.8958856334780756,warrior,58.216997881573256,2
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,8
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,2
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,13
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,7
84,63,51,0,0,1.88,warrior,58.13334186715585,13
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,6
83,63,50,1,1,1.8958856334780756,warrior,57.975511558081294,4
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,12
84,63,50,0,1,1.88,warrior,57.89903809946351,9
122,0,75,0,1,1.8958856334780756,warrior,32.70704012731803,1
122,0,74,1,1,1.8958856334780756,warrior,32.40108544582487,1
122,1,75,0,0,1.8958856334780756,warrior,33.439681448087384,1
84,63,51,0,0,1.6243882157727931,warrior,45.90385835845887,1
83,64,51,0,0,1.8958856334780756,warrior,58.68321440916509,4
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,10
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,9
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,8
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,6
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,11
82,64,51,1,0,1.8958856334780756,warrior,58.216997881573256,3
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,9
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,3
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,14
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,8
84,63,51,0,0,1.88,warrior,58.13334186715585,14
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,7
83,63,50,1,1,1.8958856334780756,warrior,57.975511558081294,5
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,13
84,63,50,0,1,1.88,warrior,57.89903809946351,10
82,64,51,1,0,1.8958856334780756,warrior,58.216997881573256,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,1
83,65,50,0,0,1.8958856334780756,warrior,58.82690269799369,1
1,108,88,1,0,1.8958856334780756,warrior,1.239310778456437,1
83,65,50,0,0,1.8958856334780756,warrior,58.82690269799369,2
83,64,51,0,0,1.8958856334780756,warrior,58.68321440916509,5
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,11
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,10
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,9
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,7
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,2
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,12
82,64,51,1,0,1.8958856334780756,warrior,58.216997881573256,4
82,64,51,1,0,1.8958856334780756,warrior,58.216997881573256,2
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,10
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,4
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,15
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,9
84,63,51,0,0,1.88,warrior,58.13334186715585,15
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,8
